╒══╕
│  │
╘══╛
cbz..... | ...... | 1001 nuits de Schéhérazade (Les)
cbz..... | T08... | Sans-Nom le dernier méta-baron
  => ====[Science-fiction]====\Caste des méta-barons (La)

╒══════════════╕
│ Castel Armer │
╘══════════════╛
cbz..... | T01... | La geste du temple
cbz..... | T02... | La blanche biche
cbz..... | T03... | La croisade des pastoureaux
cbz..... | T04... | L'appel du loup
cbz..... | T05... | Au nom du père
  => ====[Histoire]====\= Moyen-âge

╒════════════════════════════════════════╕
│ Ce qui est à nous - 1. Première époque │
╘════════════════════════════════════════╛
cbz..... | T01... | La mano nera
cbz..... | T02... | La mort d'Herman Rosenthal
cbz..... | T03... | Hampton farms
cbz..... | T04... | Le pari
cbz..... | T05... | Le ticket gagnant
  => ====[Chroniques, ...]====\Ce qui est à nous

╒════════════════════════════════════════╕
│ Ce qui est à nous - 2. Deuxième époque │
╘════════════════════════════════════════╛
cbz..... | T01... | The big seven
cbz..... | T02... | Huguenot Beach
cbz..... | T03... | Oyster Bay
cbz..... | T04... | Aux matelas
cbz..... | T05... | Capo di tutti capi
  => ====[Chroniques, ...]====\Ce qui est à nous

╒════════════════════╕
│ Ceci est mon corps │
╘════════════════════╛
cbz..... | T01... | Lumière crue
cbz..... | T02... | Surexposition
  => ====[Science-fiction]====

╒════════╕
│ Cédric │
╘════════╛
cbz..... | T01... | Premières classes
cbz..... | T02... | Classes de neige
cbz..... | T03... | Classe tous risques
cbz..... | T04... | Papa a de la classe
cbz..... | T05... | Quelle mouche le pique
cbz..... | T06... | Chaud et froid
cbz..... | T07... | Pépé se mouille
cbz..... | T08... | Comme sur des roulettes
cbz..... | T09... | Parasite sur canapé
cbz..... | T10... | Gâteau-surprise
cbz..... | T11... | Cygne d'étang
cbz..... | T12... | Terrain minets
cbz..... | T13... | Papa, je veux un cheval !
cbz..... | T14... | Au pied, j'ai dit !
cbz..... | T15... | Avis de tempête
cbz..... | T16... | Où sont les freins
cbz..... | T17... | Qui a éteint la lumière
cbz..... | T18... | Enfin seuls !
cbz..... | T19... | On se calme !
cbz..... | T20... | J'ai fini !
cbz..... | T21... | On révasse
cbz..... | T22... | Elle est moche !
cbz..... | T23... | Je veux l'épouser !
cbz..... | T24... | J'ai gagné !
cbz..... | T25... | Qu'est-ce qu'il a
cbz..... | T26... | Graine de star
cbz..... | T27... | C'est quand qu'on part
cbz..... | T28... | Faux départ
cbz..... | T29... | Un look d'enfer
cbz..... | T30... | Silence, je tourne
cbz..... | T31... | Temps de chien !
  => ====[BD classique]====

╒═════════════╕
│ Celadon run │
╘═════════════╛
cbz..... | T01... | Les yeux de Tracy Night
cbz..... | T02... | La colère du papillon
cbz..... | T03... | Hasta luego, companero !
cbz..... | T04... | Extrême préjudice
  => ====[Aventure]====

╒════════════════════╕
│ Célestin Speculoos │
╘════════════════════╛
cbz..... | T01... | Les affreux
cbz..... | T02... | Mai 68
  => ====[Aventure]====

╒════════════════╕
│ Cellule poison │
╘════════════════╛
cbz..... | T01... | Immersion
cbz..... | T02... | Qui suis-je
cbz..... | T03... | La main dans le sac
  => ====[Aventure]====

╒════════════════════════════╕
│ Celui qui est né deux fois │
╘════════════════════════════╛
cbz..... | T01... | Pluie d'orage
cbz..... | T02... | La danse du soleil
cbz..... | T03... | L'arbre de vie
  => ====[Western]====

╒═════════════════╕
│ Centaures (Les) │
╘═════════════════╛
cbz..... | T01... | La porte du néant
cbz..... | T02... | Le loup à deux têtes
cbz..... | T03... | L'odyssée
cbz..... | T04... | Les amazones
cbz..... | T05... | Les châtiments d'Hermès
cbz..... | T06... | Kelvinhathor III
  => ====[BD classique]====

╒══════════════╕
│ Central zéro │
╘══════════════╛
cbz..... | T01... | Les péchés du père
  => ====[Science-fiction]====

╒══════════════════════╕
│ Cercle de Minsk (Le) │
╘══════════════════════╛
cbz..... | T01... | Le maillon perdu
cbz..... | T02... | Il était cinq soldats
cbz..... | T03... | Au nom du père
cbz..... | T04... | La chaîne brisée
cbz..... | T05... | Le châtiment
  => ====[Aventure]====

╒═════════════════════════════╕
│ Cercle des sentinelles (Le) │
╘═════════════════════════════╛
cbz..... | T01... | Les secrets de Karen
cbz..... | T02... | Le lion ailé
cbz..... | T03... | Bienvenue Mister Gandhi
cbz..... | T04... | Le chemin de Laurie
  => ====[Chroniques, ...]====

╒═════════════════════════╕
│ Cercles d'Akamoth (Les) │
╘═════════════════════════╛
cbz..... | T01... | Les sans-âme
cbz..... | T02... | La nouvelle alliance
cbz..... | T03... | L'enfant vaudou
cbz..... | T04... | L'archange noir
  => ====[Policier, espionnage, ...]====

╒════════════════╕
│ Cérémonie (La) │
╘════════════════╛
cbz..... | T01... | Les apatrides
  => ====[Science-fiction]====

╒═══════════════════════════════╕
│ Chancellor enquêteur du futur │
╘═══════════════════════════════╛
cbz..... | T01... | L'aiguille de feu
cbz..... | T02... | La croisière des morts-vivants
  => ====[Science-fiction]====

╒════════════════════════╕
│ Chant des stryges (Le) │
╘════════════════════════╛
cbz..... | T01... | Ombres
cbz..... | T02... | Pièges
cbz..... | T03... | Emprises
cbz..... | T04... | Expériences
cbz..... | T05... | Vestiges
cbz..... | T06... | Existences
cbz..... | T07... | Rencontres
cbz..... | T08... | Défis
cbz..... | T09... | Révélations
cbz..... | T10... | Manipulations
cbz..... | T11... | Cellules
cbz..... | T12... | Chutes
cbz..... | T13... | Pouvoirs
cbz..... | T14... | Enlèvement
cbz..... | T15... | Hybrides
cbz..... | T16... | Exécutions
cbz..... | T17... | Réalités
  => ====[Science-fiction]====

╒════════════════════════╕
│ Chant d'excalibur (Le) │
╘════════════════════════╛
cbz..... | T01... | Le réveil de Merlin
cbz..... | T02... | Le sidhe aux mille charmes
cbz..... | T03... | La griffe de Rome
cbz..... | T04... | La colère de Merlin
cbz..... | T05... | Ys la magnifique
  => ====[Fantasy]====

╒═════════════════════════╕
│ Chariot de Thespis (Le) │
╘═════════════════════════╛
cbz..... | T01... | Le chariot de Thespis
cbz..... | T02... | L'indien noir
cbz..... | T03... | Kathleen
cbz..... | T04... | La petite sirène
  => ====[Western]====

╒══════════════════════════════╕
│ Charlotte (Les aventures de) │
╘══════════════════════════════╛
cbz..... | T04... | Les cornes de feu
cbz..... | T05... | Le cercle des dieux
  => ====[BD classique]====

╒════════╕
│ Charly │
╘════════╛
cbz..... | T01... | Jouet d'enfer
cbz..... | T02... | L'île perdue
cbz..... | T03... | Le réveil
cbz..... | T04... | Le piège
cbz..... | T05... | Cauchemars
cbz..... | T06... | Le tueur
cbz..... | T07... | L'innocence
cbz..... | T08... | Les yeux de feu
cbz..... | T09... | Messages d'outre-temps
cbz..... | T10... | Ange
cbz..... | T11... | Une vie éternelle
cbz..... | T12... | Assassin !
cbz..... | T13... | Une vie d'enfer
  => ====[Science-fiction]====

╒═════════════════════════╕
│ Chasseur d'éclairs (Le) │
╘═════════════════════════╛
cbz..... | T01... | Espérance
cbz..... | T02... | Responsabilité
cbz..... | T03... | Vérité
  => ====[Science-fiction]====

╒══════════════════════════╕
│ Chasseurs de rêves (Les) │
╘══════════════════════════╛
cbz..... | T01... | Emilie et Liam
cbz..... | T02... | Les chats
  => ====[Fantastique]====

╒═══════════╕
│ Chat (Le) │
╘═══════════╛
cbz..... | BO3... | Le succulent du chat
cbz..... | BO4... | Entrechats
cbz..... | HS.... | 20 ans du chat
cbz..... | T01... | Le chat
cbz..... | T02... | Le retour du chat
cbz..... | T03... | La vengeance du chat
cbz..... | T04... | Le quatrième chat
cbz..... | T05... | Le chat au Congo
cbz..... | T06... | Ma langue au chat
cbz..... | T07... | Le chat à Malibu
cbz..... | T08... | Le chat 1999,9999
cbz..... | T09... | L'avenir du chat
cbz..... | T10... | Le chat est content
cbz..... | T11... | L'affaire le chat
cbz..... | T12... | Et vous, chat va
cbz..... | T13... | Le chat a encore frappé
cbz..... | T14... | La marque du Chat
cbz..... | T15... | Une vie de chat
cbz..... | T16... | Le Chat, acte XVI
cbz..... | T17... | Le chat érectus
cbz..... | T18... | La bible selon le chat
cbz..... | T19... | Le chat passe à table
  => ====[Parodies, humour]====\Chat (Le)

╒═════════════════════╕
│ Chat (Le) - Pensées │
╘═════════════════════╛
cbz..... | T02... | Pensées hexagonales
  => ====[Parodies, humour]====\Chat (Le)

╒═════════════════════╕
│ Chat du rabbin (Le) │
╘═════════════════════╛
cbz..... | T01... | La Bar-Mitsva
cbz..... | T02... | Le malka des lions
cbz..... | T03... | L'exode
cbz..... | T04... | Le paradis terrestre
cbz..... | T05... | Jérusalem d'Afrique
  => ====[Chroniques, ...]====

╒════════╕
│ Chelsy │
╘════════╛
cbz..... | T01... | Tuez-les tous, dieu reconnaîtra les siens
cbz..... | T02... | Natures ... mortes !
  => ====[Aventure]====

╒════════════════════════╕
│ Chemins d'Avalon (Les) │
╘════════════════════════╛
cbz..... | T01... | Trafic de fées
  => ====[Fantasy]====

╒════════════════════════════╕
│ Chemins de Malefosse (Les) │
╘════════════════════════════╛
cbz..... | T01... | Le diable noir
cbz..... | T02... | L'attentement
cbz..... | T03... | La vallée de misère
cbz..... | T04... | Face de suie
cbz..... | T05... | L'or blanc
cbz..... | T06... | Tschaggatta
cbz..... | T07... | La vierge
cbz..... | T08... | L'herbe d'oubli
cbz..... | T09... | La plume de fer
cbz..... | T10... | La main gauche de Dieu
cbz..... | T11... | Le feu sur l'eau
cbz..... | T12... | La part du diable
cbz..... | T13... | Quiconque meurt
cbz..... | T14... | Franc-routier
cbz..... | T15... | Margot !
cbz..... | T16... | Sacrale
cbz..... | T17... | les 7 dormants
cbz..... | T18... | Le téméraire
  => ====[Histoire]====\= Renaissance

╒════════════╕
│ Cheri-Bibi │
╘════════════╛
cbz..... | T01... | Fatalitas
cbz..... | T02... | Le marquis
cbz..... | T03... | Cécily
  => ====[Aventure]====

╒══════════════════╕
│ Chevalier Ardent │
╘══════════════════╛
cbz..... | HS.... | La salamandre
cbz..... | HS.... | La tour sarrasine
cbz..... | HS.... | Le chien des Arboë
cbz..... | HS.... | Les loups-garous
cbz..... | T01... | Le prince noir
cbz..... | T02... | Les loups de Rouge-Cogne
cbz..... | T03... | La loi de la steppe
cbz..... | T04... | La corne de brume
cbz..... | T05... | La harpe sacrée
cbz..... | T06... | Le secret du roi Arthus
cbz..... | T07... | Le trésor du mage
cbz..... | T08... | La dame des sables
cbz..... | T09... | L'ogre de worm
cbz..... | T10... | La princesse captive
cbz..... | T11... | La révolte du vassal
cbz..... | T12... | Les cavaliers de l'apocalypse
cbz..... | T13... | Le passage
cbz..... | T14... | Le champion du Roi
cbz..... | T15... | Le piège
cbz..... | T16... | L'arc de Saka
cbz..... | T17... | Yama, princesse d'Alampur
cbz..... | T18... | Retour à Rougecogne
cbz..... | T19... | La fiancée du roi Arthus
cbz..... | T20... | Les murs qui saignent
  => ====[Histoire]====\= Moyen-âge

╒══════════════════════╕
│ Chevalier blanc (Le) │
╘══════════════════════╛
cbz..... | T01... | Le chevalier blanc
cbz..... | T02... | Le nectar magique
cbz..... | T03... | Sans pitié
cbz..... | T04a.. | Echec au roi
cbz..... | T04b.. | Le signe fatal
cbz..... | T05... | Le serment de l'archer
cbz..... | T10... | Le trésor des Cathares
cbz..... | T11... | L'héritier de la horde d'or
  => ====[Histoire]====\= Moyen-âge

╒══════════════════════════════════╕
│ Chevalier de Maison-Blanche (Le) │
╘══════════════════════════════════╛
cbz..... | T01... | L'aristocrate à la lanterne
  => ====[BD classique]====

╒═══════════════════╕
│ Chevalier Malheur │
╘═══════════════════╛
cbz..... | T01... | La chanson
cbz..... | T02... | Citadelle
cbz..... | T03... | Tel père tel fils
  => ====[Fantasy]====

╒══════════════════════╕
│ Chevalier rouge (Le) │
╘══════════════════════╛
cbz..... | T01... | Les survivants
cbz..... | T02... | La légion perdue
cbz..... | T07... | Les fugitifs
cbz..... | T11... | Le mont noir
cbz..... | T14... | Les otages
cbz..... | T15... | Vrykolakas
cbz..... | T16... | La brigade écarlate
cbz..... | T17... | Princesse Kin-Lin
cbz..... | T18... | Le cobra noir
cbz..... | T19... | Le masque et l'épée
  => ====[Histoire]====\= Moyen-âge

╒══════════════════╕
│ Chevalier Walder │
╘══════════════════╛
cbz..... | T01... | Le prisonnier de Dieu
cbz..... | T02... | Au bout de l'enfer
cbz..... | T03... | Mortelle victoire
cbz..... | T04... | Le chevalier au corbeau
cbz..... | T05... | Trois coeurs
cbz..... | T06... | Chevalier teutonique
  => ====[Histoire]====\= Moyen-âge

╒════════════╕
│ Chick Bill │
╘════════════╛
cbz..... | T01... | La bande à Kid Ordinn
cbz..... | T02... | L'innocent du village
cbz..... | T03... | Le cow-boy de fer
cbz..... | T04... | Le trésor du gros magot
cbz..... | T06... | Le dur de dur des durs de durs
cbz..... | T07... | Le dernier des Bull
cbz..... | T08... | L'ennemi aux cent visages
cbz..... | T09... | L'étoile d'A. Rainier
cbz..... | T10... | Casanova Kid
cbz..... | T11... | L'arme à gauche
cbz..... | T12... | Le réveil du patratomac
cbz..... | T13... | Territoire 22
cbz..... | T14... | 36 étoiles
cbz..... | T15... | Ces merveilleux fous ...volant l'argent d'autrui
cbz..... | T17... | Le chaud fauve et le faux chauve
cbz..... | T18... | Montana Kid
cbz..... | T19... | Les millions de Kid Ordinn
cbz..... | T20... | La ruée vers l'eau
cbz..... | T21... | L'épée ou la gachette
cbz..... | T22... | Le signe des Bréchignac
cbz..... | T23... | Le témoin du Rio Grande
cbz..... | T24... | Panique à K.O. Corral
cbz..... | T25... | Tempête rose
cbz..... | T26... | L'énigmatique Tibet
cbz..... | T27... | Le 6e desperado
cbz..... | T28... | La voyante qui voyait double
cbz..... | T29... | L'arme secrète de Kid Ordinn
cbz..... | T30... | Le filon félé du filou félon
cbz..... | T31... | La maison du plus fort
cbz..... | T32... | Shérif à vendre
cbz..... | T33... | La bonne mine de Dog Bull
cbz..... | T34... | La tête au mur
cbz..... | T35... | Le troc truqué de Dog Bull
cbz..... | T36... | Le roi d'Eclosh
cbz..... | T37... | Le captif d'Eclosh
cbz..... | T38... | La peur bleue
cbz..... | T40... | Mort au rat
cbz..... | T41... | Les déserteurs
cbz..... | T42... | Le rapace de Wood-City
pdf..... | T43... | Trois coups pour le sénateur
cbz..... | T44... | Les diables à quatre
cbz..... | T45... | Kid-la-gâchette
cbz..... | T46... | L'aidant de l'amer
pdf..... | T47... | Le convoi rouge
cbz..... | T48... | Les deux visages de Kid Ordinn
cbz..... | T49... | L'âne à Lana
cbz..... | T51... | Le persan à sornettes
cbz..... | T53... | L'homme qui a tempêté
cbz..... | T56... | Le faux mage de Hollande
cbz..... | T60... | Qui veut gagner des filons
  => ====[Western]====

╒══════════════════════════╕
│ Chick Bill - L'intégrale │
╘══════════════════════════╛
cbz..... | T01... | Kid Ordinn Le rebelle, L'étrange M. Casy Moto, La bonne mine de Dog Bull
cbz..... | T02... | La tête de pipe, Ko-klox-klan, La maison du plus fort
cbz..... | T03... | La grotte mystérieuse, Le monstre du lac, La tête au mur
cbz..... | T04... | Alerte à Marraccas, Le trésor du gros Magot, Sherif à vendre
cbz..... | T05... | Les disparus du Mirific, Le dernier des Bull, Montana Kid
  => ====[Western]====

╒══════════╕
│ Chinaman │
╘══════════╛
cbz..... | T01... | La montagne d'or
cbz..... | T02... | A armes égales
cbz..... | T03... | Pour Rose
cbz..... | T04... | Les mangeurs de rouille
cbz..... | T05... | Entre deux rives
cbz..... | T06... | Frères de sang
cbz..... | T07... | Affrontements à Blue Hill
cbz..... | T08... | Les pendus
cbz..... | T09... | Tucano
  => ====[Western]====

╒══════════════╕
│ Chlorophylle │
╘══════════════╛
cbz..... | T01... | Chlorophylle et les conspirateurs
cbz..... | T02... | Pas de salami pour Célimène
cbz..... | T03... | Chlorophylle contre les rats noirs
cbz..... | T04... | Les croquillards
cbz..... | T05... | Zizanion le terrible
cbz..... | T06... | Le retour de Chlorophylle
cbz..... | T07... | Chlorophylle à la rescousse
cbz..... | T08... | Faits divers
cbz..... | T09... | Les yeux noirs & Super Caquet
cbz..... | T10... | Les bouseux
cbz..... | T11... | Barrages
cbz..... | T12... | Les trois mercenaires
cbz..... | T13... | Le testament d'Anthracite
cbz..... | T14... | Le combat des mages
cbz..... | THS... | Chlorophylle à Coquefredouille
  => ====[BD classique]====

╒══════════════════════════════════╕
│ Chronique de la maison Le Quéant │
╘══════════════════════════════════╛
cbz..... | T01... | Le pain enragé
cbz..... | T02... | Les quarante-huitards
cbz..... | T03... | Les fils du Chélif
cbz..... | T04... | Leila
cbz..... | T05... | Les portes d'Alger
cbz..... | T06... | Rubicon
cbz..... | T07... | Coeur aventureux
  => ====[Histoire]====\= Révolution française, Bonaparte, etc

╒══════════════════════════════╕
│ Chronique des immortels (La) │
╘══════════════════════════════╛
cbz..... | T01... | Au bord du gouffre
  => ====[Fantasy]====

╒═════════════════════╕
│ Chroniques Barbares │
╘═════════════════════╛
cbz..... | T01... | La fureur des Vikings
cbz..... | T02... | La loi des Vikings
cbz..... | T03... | L'odyssée des Vikings
cbz..... | T04... | Le retour des Vikings
cbz..... | T05... | Au nom des Vikings
cbz..... | T06... | Le dernier Viking
  => ====[Histoire]====\= Vikings

╒═════════════════════════════╕
│ Chroniques de Centrum (Les) │
╘═════════════════════════════╛
cbz..... | T01... | Le travail du furet
cbz..... | T02... | Le furet et la colombe
cbz..... | T03... | Le furet montre les dents
  => ====[Science-fiction]====

╒═════════════════════════════╕
│ Chroniques de la lune noire │
╘═════════════════════════════╛
cbz..... | T01... | Le signe des ténèbres
cbz..... | T02... | Le vent des dragons
cbz..... | T03... | La marque des démons
cbz..... | T04... | Quand sifflent les serpents
cbz..... | T05... | La danse écarlate
cbz..... | T06... | La couronne des ombres
cbz..... | T07... | De vents, de jade et de jais
cbz..... | T08... | Le glaive de justice
cbz..... | T09... | Les chants de la négation
cbz..... | T10... | L'aigle foudroyé
cbz..... | T11... | Ave Tenebrae
cbz..... | T12... | La porte des enfers
cbz..... | T13... | La prophétie
cbz..... | T14... | La fin des temps
  => ====[Fantasy]====

╒═════════════════════════════════╕
│ Chroniques de la nuit des temps │
╘═════════════════════════════════╛
cbz..... | T04... | Le soleil des morts
  => ====[Chroniques, ...]====

╒═════════════════════════════╕
│ Chroniques de la terre fixe │
╘═════════════════════════════╛
cbz..... | ...... | Nocturnes
cbz..... | THS... | L'âge d'ombre
  => ====[Fantasy]====

╒═══════════════════════════════════════════════════╕
│ Chroniques de la terre fixe - Monde d'Arkadi (Le) │
╘═══════════════════════════════════════════════════╛
cbz..... | T01... | Les yeux d'Or-Fé
cbz..... | T02... | Le grand extérieur
cbz..... | T03... | Arkadi
cbz..... | T04... | La corne rouge
cbz..... | T05... | Les voyageurs de la mer morte
cbz..... | T06... | Noone
cbz..... | T07... | Le château d'Antarc
cbz..... | T08... | Pierres de Lune
cbz..... | T09... | Le jour de l'arche
  => ====[Fantasy]====\Chroniques de la terre fixe

╒════════════════════════════════╕
│ Chroniques de l'ère xénozoïque │
╘════════════════════════════════╛
cbz..... | T01... | Jack Cadillac
cbz..... | T02... | Hannah Dundee
cbz..... | T03... | Xénozoïque
cbz..... | T04... | Cadillacs et dinosaures
cbz..... | T05... | Destination Wassoon !
cbz..... | T06... | Tenrec est mort !
  => ====[Science-fiction]====

╒═══════════════════════════╕
│ Chroniques de Magon (Les) │
╘═══════════════════════════╛
cbz..... | T01... | Les enfants de la cyberchair
cbz..... | T02... | Genèses
cbz..... | T03... | L'antre de la Gorgone
cbz..... | T04... | Exil
cbz..... | T05... | Les seigneurs de Katë
cbz..... | T06... | Héritage
  => ====[Science-fiction]====

╒══════════════════════════╕
│ Chroniques de Panchrysia │
╘══════════════════════════╛
cbz..... | T02... | Les rêves
  => ====[Fantasy]====

╒═════════════════════════════╕
│ Chroniques de Sillage (Les) │
╘═════════════════════════════╛
cbz..... | T01... | Chasseurs en herbe
cbz..... | T02... | Réveil tardif
cbz..... | T03... | Une mère
cbz..... | T04... | Une journée de filles
cbz..... | T05... | Au bord des armes
cbz..... | T06... | Mémoire noyée
  => ====[Fantasy]====\Sillage

╒══════════════════════════════════════════════╕
│ Chroniques du temps de la vallée des Ghlomes │
╘══════════════════════════════════════════════╛
cbz..... | T01... | Chroniques du temps de la vallee des Ghlomes
cbz..... | T02... | La guerre des pilons
cbz..... | T03... | L'hydre mélomane
cbz..... | T04... | La besache en peau de fée
  => ====[Fantasy]====

╒════════════════════════╕
│ Chroniques originelles │
╘════════════════════════╛
cbz..... | T01... | Les écoles d'Arsamia
  => ====[Science-fiction]====

╒═════════════╕
│ Chrononauts │
╘═════════════╛
cbz..... | T01... | Chrononauts
  => ====[Science-fiction]====

╒════════════════════════════╕
│ Cicatrice du souvenir (La) │
╘════════════════════════════╛
cbz..... | T01... | Les évadés de Kanash
cbz..... | T02... | Le cristal de Baïn
cbz..... | T03... | Le livre d'Erkor
  => ====[Fantasy]====

╒══════════════════════╕
│ Cités obscures (Les) │
╘══════════════════════╛
cbz..... | T01... | Les murailles de Samaris
cbz..... | T02... | La fièvre d'Urbicande
cbz..... | T03... | La tour
cbz..... | T04... | La route d'Armilia
cbz..... | T05... | Brüsel
cbz..... | T06... | L'enfant penchée
cbz..... | T07... | L'ombre d'un homme
cbz..... | T08... | La frontière invisible, tome 1
cbz..... | T09... | La frontière invisible, tome 2
cbz..... | T10... | La théorie du grain de sable, tome 1
cbz..... | THS... | L'archiviste
  => ====[Fantasy]====

╒════════╕
│ Claire │
╘════════╛
cbz..... | T01... | Claire s'installe
cbz..... | T02... | Dédé
cbz..... | T03... | Léger, léger
cbz..... | T04... | Coeurs blessés
cbz..... | T05... | On t'a vue à la télé
cbz..... | T06... | Bouffée de chaleur
cbz..... | T07... | C'est tout naturel
cbz..... | T08... | Roulez jeunesse
cbz..... | T09... | Le septième ciel
cbz..... | T10... | A nous !
cbz..... | T11... | Réseaux
cbz..... | T12... | Fast Food
cbz..... | T13... | Tout feu, tout flamme
cbz..... | T14... | Le prochain round
cbz..... | T15... | Sirène
cbz..... | T16... | En forme
  => ====[BD classique]====

╒════════════════════════╕
│ Clan des chimeres (Le) │
╘════════════════════════╛
cbz..... | T01... | Tribut
cbz..... | T02... | Bucher
cbz..... | T03... | Ordalie
cbz..... | T04... | Sortilège
cbz..... | T05... | Secret
pdf..... | T06... | Oubli
  => ====[Fantasy]====

╒═════════════════╕
│ Clarke & Kubric │
╘═════════════════╛
cbz..... | T01... | Agent très spatiaux
cbz..... | T02... | Les tricheurs
cbz..... | T03... | Le maître de l'univers
  => ====[Science-fiction]====

╒══════════════╕
│ Cliff Burton │
╘══════════════╛
cbz..... | T01... | Brouillard sur Whitehall
cbz..... | T02... | L'ombre de Victoria
cbz..... | T03... | Les dormeurs de Fleetwood
cbz..... | T04... | Les poupées de sang
cbz..... | T05... | Catman
cbz..... | T06... | Pur-sang
cbz..... | T07... | Schizo
cbz..... | T08... | Toutes folles de lui
cbz..... | T09... | Fou d'elles
  => ====[Policier, espionnage, ...]====

╒═════════╕
│ Clifton │
╘═════════╛
cbz..... | HS.... | (Macherot - Les enquêtes du colonel Clifton, Cilfton à New-york, Clifton et les espions)
cbz..... | T01... | Ce cher Wilkinson
cbz..... | T02... | Le voleur qui rit
cbz..... | T03... | 7 jours pour mourir
cbz..... | T04... | Alias Lord X
cbz..... | T05... | Atout... coeur !
cbz..... | T06... | Une panthère pour le colonel
cbz..... | T07... | Sir Jason
cbz..... | T08... | Week-end à tuer
cbz..... | T09... | Kidnapping
cbz..... | T10... | Passé composé
cbz..... | T11... | La mémoire brisée
cbz..... | T12... | Dernière séance
cbz..... | T13... | Matoutou-falaise
cbz..... | T14... | Le clan Mc Grégor
cbz..... | T15... | Mortelle saison
cbz..... | T16... | Le baiser du cobra
cbz..... | T17... | Les lutins diaboliques
cbz..... | T18... | Jade
cbz..... | T19... | Lune noire
  => ====[Policier, espionnage, ...]====

╒════════════════╕
│ Code Mc Callum │
╘════════════════╛
cbz..... | T01... | Londres
cbz..... | T02... | Spectre
cbz..... | T03... | Exil
cbz..... | T04... | Jungles
cbz..... | T05... | Mercenaire
  => ====[Science-fiction]====\Carmen Mc Callum

╒══════════════════════╕
│ Codex angélique (Le) │
╘══════════════════════╛
cbz..... | T01... | Izaël
cbz..... | T02... | Lisa
cbz..... | T03... | Thomas
  => ====[Fantastique]====

╒═════════════╕
│ Coeur brulé │
╘═════════════╛
cbz..... | T01... | Le chemin qui marche
cbz..... | T02... | La petite guerre
cbz..... | T03... | La robe noire
cbz..... | T04... | Saignements
cbz..... | T05... | Le grand blanc
cbz..... | T06... | Les caprices de Gaston
cbz..... | T07... | Le comte de Saint-Germain
  => ====[Histoire]====\= Amérique du nord

╒═════════════════════╕
│ Coeur couronné (Le) │
╘═════════════════════╛
cbz..... | T01... | La folle du Sacré-Coeur
cbz..... | T02... | Le piège de l'irrationnel
cbz..... | T03... | Le fou de la Sorbonne
  => ====[Chroniques, ...]====

╒════════════════════════╕
│ Collège invisible (Le) │
╘════════════════════════╛
cbz..... | T05... | Gestus collegiem
cbz..... | T06... | Galactus destructor
cbz..... | T07... | Returnum a la terrum
  => ====[Fantasy]====

╒════════════════════════╕
│ Collège Invisible (Le) │
╘════════════════════════╛
cbz..... | T01... | Cancrus supremus
cbz..... | T02... | Furor draconis
cbz..... | T03... | Astralum cauchemardem
cbz..... | T04... | Duelum magickum
  => ====[Fantasy]====

╒═══════════════════════════╕
│ Colonnes de Salomon (Les) │
╘═══════════════════════════╛
cbz..... | T01... | Hiram
cbz..... | T02... | La mort d'Hiram
  => ====[Histoire]====\= Epoque grèco-romaine

╒═════════════╕
│ Colt Walker │
╘═════════════╛
cbz..... | T01... | Gila
cbz..... | T02... | Gila 2
  => ====[Western]====

╒══════╕
│ Coma │
╘══════╛
cbz..... | T01... | Vincent
cbz..... | T02... | Dana
cbz..... | T03... | Demain, peut-être
  => ====[Chroniques, ...]====

╒══════════╕
│ Comanche │
╘══════════╛
cbz..... | HS.... | Le prisonnier
cbz..... | T01... | Red Dust
cbz..... | T02... | Les guerriers du désespoir
cbz..... | T03... | Les loups de Wyoming
cbz..... | T04... | Le ciel est rouge sur Laramie
cbz..... | T05... | Le désert sans lumière
cbz..... | T06... | Furie rebelle
cbz..... | T07... | Le doigt du Diable
cbz..... | T08... | Les sheriffs
cbz..... | T09... | Et le Diable hurla de joie
cbz..... | T10... | Le corps d'Algernon Brown
cbz..... | T11... | Les fauves
cbz..... | T12... | Le dollar à trois faces
cbz..... | T13... | Le carnaval sauvage
cbz..... | T14... | Les cavaliers du Rio perdu
  => ====[Western]====

╒═══════════════════════╕
│ Combat ordinaire (Le) │
╘═══════════════════════╛
cbz..... | T01... | 
cbz..... | T02... | Les quantités négligeables
cbz..... | T03... | Ce qui est précieux
cbz..... | T04... | Planter des clous
  => ====[Chroniques, ...]====

╒═══════════════════════════╕
│ Compagnie des glaces (La) │
╘═══════════════════════════╛
cbz..... | T01... | Cycle Jdrien - Lien Rag
cbz..... | T02... | Cycle Jdrien - Floa Sadon
cbz..... | T03... | Cycle Jdrien - Kurts
cbz..... | T04... | Cycle Jdrien - Frère Pierre
cbz..... | T05... | Cycle Jdrien - Jdrou
cbz..... | T06... | Cycle Jdrien - Yeuse
cbz..... | T07... | Cycle Jdrien - Pietr
cbz..... | T08... | Cycle Cabaret Miki - Le peuple du sel
cbz..... | T09... | Cycle Cabaret Miki - Otage des glaces
cbz..... | T10... | Cycle Cabaret Miki - Zone occidentale
cbz..... | T11... | Cycle Cabaret Miki - Big tube
cbz..... | T12... | Cycle Cabaret Miki - La fin d'un rêve
cbz..... | T13... | Cycle La compagnie de la banquise - Terror point
